Product ID,avg_torque,avg_speed,max_tool_wear,cluster
H31628,44.8,1355.0,127,0
H31629,49.6,1468.0,132,0
H31642,41.8,1542.0,166,0
H31665,43.4,1424.0,16,2
H31666,42.8,1451.0,21,2
H31674,36.5,1521.0,40,2
H31691,44.4,1408.0,82,2
H31719,47.5,1342.0,147,0
H31721,33.5,1623.0,154,1
H31734,39.1,1440.0,188,0
H31770,39.5,1498.0,47,2
H31774,53.2,1388.0,59,2
H31776,41.4,1520.0,67,2
H31793,46.1,1450.0,112,0
H31814,55.0,1462.0,163,0
H31817,51.4,1448.0,173,0
H31834,44.7,1450.0,14,2
H31850,30.4,1662.0,55,1
H31859,55.1,1375.0,78,2
H31890,42.4,1449.0,149,0
H31898,37.7,1524.0,170,0
H31901,31.0,1623.0,180,1
H31903,41.6,1500.0,187,0
H31904,46.6,1566.0,192,0
H31906,58.5,1382.0,199,0
H31921,47.1,1410.0,9,2
H31951,48.1,1353.0,79,2
H31955,32.6,1553.0,90,1
H31956,26.4,1712.0,95,1
H31966,40.7,1552.0,120,0
H31983,22.6,1872.0,162,1
H32007,54.0,1415.0,6,2
H32020,37.5,1534.0,39,2
H32024,40.9,1547.0,50,2
H32038,46.8,1375.0,86,2
H32042,51.2,1410.0,98,2
H32045,42.4,1529.0,107,2
H32049,51.0,1462.0,119,0
H32055,46.7,1420.0,136,0
H32059,38.5,1547.0,148,0
H32073,32.1,1595.0,183,0
H32080,27.7,1691.0,203,1
H32083,37.8,1494.0,214,0
H32126,55.5,1302.0,87,2
H32148,32.8,1572.0,142,0
H32164,40.6,1456.0,182,0
H32168,32.3,1630.0,194,0
H32203,44.0,1438.0,59,2
H32205,43.3,1416.0,66,2
H32254,38.9,1487.0,185,0
H32270,45.2,1471.0,223,0
H32274,49.2,1463.0,235,0
H32278,47.6,1380.0,246,0
H32279,32.7,1623.0,0,2
H32281,48.5,1390.0,7,2
H32287,37.9,1555.0,24,2
H32292,34.3,1502.0,40,2
H32300,34.2,1635.0,62,1
H32328,20.5,1888.0,133,1
H32344,51.3,1403.0,174,0
H32357,19.7,2007.0,2,1
H32359,20.5,1925.0,9,1
H32366,30.5,1667.0,29,1
H32368,28.0,1691.0,36,1
H32389,46.2,1360.0,93,2
H32392,36.2,1642.0,103,1
H32395,40.4,1530.0,112,0
H32414,72.8,1324.0,159,0
H32448,43.8,1470.0,18,2
H32467,35.6,1506.0,63,2
H32468,48.7,1342.0,68,2
H32482,31.8,1622.0,103,1
H32498,55.2,1329.0,143,0
H32503,38.2,1520.0,158,0
H32504,45.8,1448.0,163,0
H32515,37.3,1467.0,193,0
H32524,33.2,1525.0,0,2
H32534,40.8,1563.0,28,2
H32537,38.5,1498.0,37,2
H32547,49.2,1442.0,61,2
H32553,38.7,1513.0,76,2
H32554,12.8,2563.0,81,1
H32557,42.4,1419.0,90,2
H32562,39.7,1448.0,107,2
H32563,35.2,1500.0,112,0
H32573,47.5,1409.0,138,0
H32613,35.4,1560.0,14,2
H32628,51.2,1396.0,54,2
H32637,36.5,1495.0,79,2
H32647,40.7,1474.0,104,2
H32655,43.4,1469.0,126,0
H32664,27.0,1709.0,151,1
H32675,39.7,1469.0,179,0
H32678,44.1,1455.0,188,0
H32689,36.3,1532.0,2,2
H32698,50.7,1362.0,25,2
H32714,38.4,1538.0,65,2
H32755,52.0,1329.0,160,0
H32771,51.7,1414.0,197,0
H32781,26.2,1790.0,8,1
H32791,29.6,1591.0,33,1
H32797,33.6,1674.0,49,1
H32800,38.7,1474.0,58,2
H32804,40.4,1599.0,72,2
H32814,44.4,1536.0,96,2
H32832,40.4,1555.0,139,0
H32843,34.3,1551.0,166,0
H32844,26.2,1821.0,171,1
H32860,49.5,1400.0,211,0
H32866,32.3,1602.0,2,2
H32869,41.5,1611.0,11,2
H32870,38.6,1610.0,16,2
H32875,49.5,1330.0,30,2
H32876,27.1,1786.0,35,1
H32897,42.7,1455.0,85,2
H32905,34.3,1590.0,106,1
H32906,63.6,1336.0,111,2
H32914,26.0,1871.0,132,1
H32915,63.6,1291.0,137,0
H32920,47.2,1435.0,152,0
H32928,49.8,1430.0,174,0
H32940,37.6,1470.0,204,0
H32949,29.9,1672.0,13,1
H32984,46.3,1441.0,100,2
H33001,38.6,1478.0,141,0
H33006,45.4,1369.0,156,0
H33013,50.5,1388.0,176,0
H33034,41.8,1474.0,18,2
H33054,39.1,1544.0,70,2
H33087,44.5,1449.0,152,0
H33112,26.4,1758.0,4,1
H33131,44.1,1443.0,51,2
H33139,37.5,1543.0,73,2
H33150,30.6,1628.0,105,1
H33160,47.5,1393.0,130,0
H33166,40.3,1455.0,145,0
H33189,23.3,1850.0,203,1
H33197,47.6,1397.0,11,2
H33239,48.9,1413.0,114,0
H33240,43.8,1438.0,119,0
H33243,48.4,1366.0,130,0
H33265,48.4,1415.0,185,0
H33269,32.3,1578.0,196,0
H33271,40.8,1506.0,204,0
H33276,43.8,1496.0,218,0
H33279,34.4,1629.0,228,0
H33291,48.3,1471.0,25,2
H33298,36.0,1626.0,44,2
H33315,34.1,1553.0,89,2
H33317,39.6,1476.0,96,2
H33318,50.6,1426.0,101,2
H33323,30.3,1744.0,116,1
H33333,32.3,1655.0,142,1
H33341,35.0,1556.0,164,0
H33361,29.2,1749.0,5,1
H33377,38.2,1526.0,47,2
H33385,35.4,1625.0,70,1
H33389,43.7,1540.0,81,2
H33390,46.0,1372.0,86,2
H33404,28.2,1692.0,122,1
H33415,37.9,1598.0,148,0
H33435,42.5,1452.0,198,0
H33439,26.1,1729.0,210,1
H33443,29.0,1679.0,222,1
H33492,62.4,1294.0,101,2
H33499,23.6,1841.0,119,1
H33506,24.4,1812.0,138,1
H33509,43.2,1459.0,148,0
H33526,39.7,1472.0,187,0
H33529,54.7,1346.0,196,0
H33541,43.2,1438.0,12,2
H33553,30.8,1620.0,42,1
H33555,38.3,1462.0,49,2
H33575,32.4,1653.0,100,1
H33580,48.7,1525.0,114,0
H33604,40.7,1444.0,174,0
H33648,35.9,1522.0,61,2
H33665,55.5,1356.0,101,2
H33666,51.0,1438.0,106,2
H33674,43.4,1418.0,130,0
H33722,47.2,1460.0,22,2
H33728,32.3,1623.0,39,1
H33741,29.3,1660.0,72,1
H33750,53.6,1423.0,95,2
H33758,51.3,1418.0,116,0
H33761,27.5,1724.0,126,1
H33769,57.3,1280.0,147,0
H33772,34.5,1606.0,156,0
H33777,24.6,1844.0,171,1
H33778,29.9,1615.0,176,1
H33781,42.8,1447.0,185,0
H33783,27.2,1735.0,192,1
H33810,42.9,1383.0,24,2
H33815,43.6,1468.0,38,2
H33816,33.8,1506.0,43,2
H33834,21.3,1873.0,87,1
H33844,30.4,1688.0,115,1
H33845,54.6,1443.0,120,0
H33847,44.9,1435.0,127,0
H33869,28.9,1597.0,179,1
H33894,55.2,1305.0,20,2
H33896,36.9,1568.0,28,2
H33905,53.3,1409.0,52,2
H33908,30.1,1649.0,62,1
H33912,36.0,1614.0,74,2
H33913,27.4,1721.0,79,1
H33946,41.9,1422.0,156,0
H33979,55.0,1275.0,25,2
H33987,43.5,1436.0,47,2
H34005,17.8,2102.0,91,1
H34017,58.3,1452.0,123,0
H34019,48.7,1469.0,130,0
H34028,37.0,1503.0,152,0
H34033,19.7,2056.0,167,1
H34055,42.7,1494.0,221,0
H34076,31.7,1607.0,34,1
H34081,30.6,1651.0,50,1
H34082,27.9,1692.0,55,1
H34089,33.5,1629.0,73,1
H34091,47.0,1466.0,80,2
H34092,40.1,1476.0,85,2
H34115,32.7,1584.0,143,1
H34128,28.3,1693.0,175,1
H34159,43.1,1475.0,20,2
H34166,39.5,1502.0,38,2
H34167,36.6,1607.0,43,2
H34170,19.0,1991.0,53,1
H34175,52.7,1332.0,66,2
H34183,37.1,1544.0,88,2
H34192,54.6,1371.0,112,0
H34199,50.0,1401.0,129,0
H34202,35.5,1514.0,138,0
H34206,40.2,1564.0,150,0
H34207,40.2,1498.0,155,0
H34220,54.0,1375.0,186,0
H34229,33.2,1534.0,210,0
H34251,27.7,1806.0,44,1
H34252,29.4,1649.0,49,1
H34253,50.0,1402.0,54,2
H34262,52.9,1397.0,80,2
H34293,35.6,1520.0,154,0
H34298,28.0,1655.0,170,1
H34299,25.1,1748.0,175,1
H34308,46.6,1447.0,198,0
H34311,38.0,1525.0,209,0
H34312,53.7,1460.0,214,0
H34318,50.7,1480.0,2,2
H34320,45.6,1436.0,9,2
H34329,49.0,1386.0,35,2
H34330,27.9,1769.0,40,1
H34338,42.1,1522.0,62,2
H34347,36.8,1554.0,85,2
H34357,42.0,1436.0,110,0
H34386,24.9,1811.0,183,1
H34422,42.8,1488.0,54,2
H34453,32.5,1689.0,134,1
H34454,34.6,1586.0,139,0
H34462,68.6,1271.0,161,0
H34463,45.5,1472.0,166,0
H34464,30.4,1701.0,171,1
H34469,45.6,1378.0,184,0
H34477,46.6,1495.0,0,2
H34485,40.9,1442.0,23,2
H34496,43.4,1590.0,52,2
H34510,32.2,1627.0,91,1
H34536,29.8,1684.0,156,1
H34569,37.3,1625.0,27,2
H34571,49.6,1397.0,34,2
H34580,41.4,1546.0,58,2
H34582,29.6,1696.0,65,1
H34591,53.2,1388.0,91,2
H34592,43.1,1517.0,96,2
H34607,39.8,1408.0,132,0
H34610,36.0,1517.0,142,0
H34611,35.8,1570.0,147,0
H34620,27.6,1711.0,170,1
H34643,26.7,1790.0,17,1
H34696,52.4,1381.0,140,0
H34701,46.9,1506.0,154,0
H34710,50.2,1379.0,178,0
H34719,29.1,1680.0,201,1
H34720,31.7,1612.0,206,0
H34725,49.8,1460.0,2,2
H34746,46.2,1403.0,57,2
H34755,55.8,1404.0,84,2
H34769,49.8,1328.0,120,0
H34770,29.0,1692.0,125,1
H34772,24.2,1827.0,132,1
H34780,40.6,1404.0,152,0
H34783,37.9,1507.0,163,0
H34784,37.1,1627.0,168,0
H34786,46.8,1509.0,175,0
H34790,57.5,1336.0,187,0
H34799,26.9,1754.0,209,1
H34804,47.2,1483.0,223,0
H34813,53.8,1411.0,246,0
H34818,46.1,1422.0,4,2
H34827,36.4,1527.0,26,2
H34854,30.0,1698.0,89,1
H34864,41.9,1435.0,115,0
H34894,36.0,1478.0,191,0
H34909,55.0,1357.0,12,2
H34913,48.7,1417.0,26,2
H34917,29.3,1657.0,37,1
H34929,41.5,1484.0,65,2
H34953,39.0,1482.0,127,0
H34959,44.2,1357.0,142,0
H34963,52.4,1374.0,154,0
H34965,47.3,1366.0,162,0
H34966,35.7,1579.0,167,0
H34970,42.0,1357.0,179,0
H34989,39.7,1477.0,18,2
H34990,43.4,1457.0,23,2
H35028,28.8,1624.0,117,1
H35040,32.5,1603.0,148,1
H35061,14.7,2370.0,198,1
H35085,37.2,1534.0,41,2
H35086,26.2,1701.0,46,1
H35096,53.9,1441.0,74,2
H35098,36.8,1594.0,82,2
H35110,34.6,1595.0,112,1
H35117,45.4,1456.0,130,0
H35124,46.5,1413.0,147,0
H35129,35.8,1597.0,160,0
H35158,42.6,1482.0,16,2
H35163,62.4,1330.0,31,2
H35165,42.8,1475.0,38,2
H35166,25.0,1804.0,43,1
H35177,39.4,1451.0,70,2
H35187,46.8,1395.0,95,2
H35197,36.4,1543.0,120,0
H35223,36.6,1580.0,184,0
H35266,22.3,1798.0,59,1
H35270,35.9,1598.0,71,2
H35301,41.4,1445.0,144,0
H35313,27.7,1686.0,176,1
H35319,31.1,1582.0,193,0
H35321,46.4,1419.0,200,0
H35323,65.3,1364.0,208,0
H35327,52.3,1479.0,9,2
H35348,51.2,1454.0,58,2
H35377,36.3,1656.0,127,1
H35378,30.5,1631.0,132,1
H35379,46.5,1447.0,137,0
H35389,28.6,1654.0,161,1
H35390,51.5,1378.0,166,0
H35393,45.3,1501.0,175,0
H35397,45.2,1466.0,188,0
H35398,52.0,1346.0,193,0
H35402,58.2,1296.0,204,0
H35414,43.2,1431.0,0,2
H35424,43.4,1428.0,26,2
H35426,44.0,1425.0,33,2
H35428,32.8,1618.0,40,1
H35461,23.6,1853.0,122,1
H35468,40.1,1518.0,142,0
H35475,29.5,1618.0,160,1
H35511,38.4,1477.0,31,2
H35513,28.7,1609.0,39,1
H35545,37.6,1640.0,118,1
H35550,40.6,1390.0,131,0
H35578,30.7,1656.0,200,1
H35580,40.6,1403.0,207,0
H35584,40.1,1559.0,220,0
H35597,37.3,1495.0,21,2
H35605,22.0,1916.0,42,1
H35632,50.6,1366.0,106,2
H35633,43.9,1407.0,111,0
H35636,25.8,1792.0,121,1
H35640,59.3,1341.0,134,0
H35660,46.8,1457.0,182,0
H35707,44.9,1512.0,86,2
H35709,24.9,1782.0,93,1
H35717,50.5,1457.0,114,0
H35745,47.4,1495.0,184,0
H35754,45.9,1397.0,210,0
H35758,47.7,1374.0,8,2
H35783,24.9,1781.0,70,1
H35787,28.9,1735.0,82,1
H35789,32.3,1629.0,89,1
H35797,43.8,1483.0,108,2
H35798,45.1,1463.0,113,0
H35802,46.6,1509.0,125,0
H35803,30.1,1677.0,130,1
H35830,38.0,1484.0,198,0
H35832,52.1,1405.0,205,0
H35833,46.7,1394.0,210,0
H35862,24.8,1877.0,64,1
H35876,44.0,1483.0,97,2
H35877,60.4,1358.0,102,2
H35886,33.6,1571.0,126,1
H35887,50.7,1547.0,131,0
H35898,22.5,1913.0,157,1
H35901,36.2,1541.0,166,0
H35912,19.2,2041.0,194,1
H35920,44.1,1454.0,217,0
H35922,30.7,1756.0,2,1
H35930,40.1,1470.0,23,2
H35932,67.9,1212.0,30,2
H35944,32.5,1605.0,59,1
H35945,26.2,1656.0,64,1
H35946,52.0,1352.0,69,2
H35949,43.6,1505.0,78,2
H35963,44.0,1527.0,114,0
H35969,46.7,1394.0,130,0
H35973,39.0,1512.0,143,0
H36020,44.3,1538.0,43,2
H36025,33.8,1587.0,57,2
H36051,48.0,1453.0,124,0
H36066,35.7,1580.0,161,0
H36074,43.8,1421.0,182,0
H36081,39.9,1536.0,201,0
H36114,50.2,1419.0,51,2
H36126,36.4,1516.0,83,2
H36143,40.4,1524.0,124,0
H36152,50.1,1463.0,149,0
H36156,30.0,1639.0,161,1
H36162,19.3,2016.0,180,1
H36182,39.5,1434.0,18,2
H36188,27.3,1747.0,35,1
H36201,58.5,1388.0,68,2
H36228,44.1,1465.0,136,0
H36243,35.7,1474.0,175,0
H36250,52.8,1339.0,194,0
H36266,32.7,1602.0,19,2
H36275,16.6,2207.0,43,1
H36284,39.2,1597.0,66,2
H36288,58.9,1295.0,77,2
H36292,35.0,1518.0,90,2
H36293,17.0,2237.0,95,1
H36303,42.7,1387.0,121,0
H36328,28.9,1668.0,183,1
H36340,53.4,1417.0,0,2
H36351,40.2,1452.0,28,2
H36354,44.6,1453.0,38,2
H36364,53.1,1374.0,66,2
H36377,19.9,1981.0,99,1
H36395,32.5,1612.0,143,1
H36399,24.8,1698.0,156,1
H36416,47.2,1411.0,201,0
H36420,39.6,1419.0,3,2
H36428,47.7,1403.0,24,2
H36435,32.6,1631.0,43,1
H36439,44.7,1448.0,55,2
H36448,26.2,1830.0,78,1
H36453,37.0,1519.0,91,2
H36466,42.8,1510.0,124,0
H36467,38.7,1567.0,129,0
H36468,43.1,1476.0,134,0
H36474,35.6,1479.0,150,0
H36485,40.6,1505.0,179,0
H36507,50.7,1369.0,12,2
H36517,30.1,1777.0,38,1
H36521,41.2,1512.0,49,2
H36528,43.8,1457.0,69,2
H36556,41.5,1452.0,139,0
H36557,30.8,1582.0,144,1
H36565,22.9,1906.0,165,1
H36610,42.7,1426.0,64,2
H36632,48.7,1400.0,119,0
H36635,49.6,1433.0,129,0
H36642,47.4,1368.0,148,0
H36656,51.4,1447.0,185,0
H36666,42.9,1501.0,212,0
H36670,42.5,1408.0,0,2
H36692,28.7,1714.0,55,1
H36710,21.9,1881.0,102,1
H36725,36.7,1558.0,137,0
H36732,43.9,1535.0,154,0
H36734,49.7,1411.0,161,0
H36736,33.3,1573.0,168,0
H36744,36.6,1537.0,191,0
H36750,42.8,1549.0,208,0
H36762,40.4,1462.0,19,2
H36780,36.8,1531.0,62,2
H36801,44.6,1423.0,116,0
H36821,47.2,1427.0,168,0
H36857,37.9,1589.0,37,2
H36867,47.7,1432.0,61,2
H36877,46.9,1518.0,87,2
H36880,23.6,1801.0,97,1
H36881,41.6,1463.0,102,2
H36889,53.4,1339.0,123,0
H36895,36.1,1506.0,141,0
H36916,29.9,1655.0,193,1
H36939,49.1,1383.0,33,2
H36945,56.7,1377.0,50,2
H36960,42.8,1454.0,88,2
H36984,27.5,1777.0,151,1
H36996,45.3,1489.0,180,0
H37009,45.2,1397.0,2,2
H37019,20.3,2026.0,26,1
H37040,53.5,1351.0,78,2
H37051,52.4,1445.0,105,2
H37057,50.7,1427.0,122,0
H37063,29.0,1662.0,137,1
H37078,50.3,1454.0,175,0
H37106,36.2,1506.0,10,2
H37108,36.7,1500.0,17,2
H37110,60.2,1282.0,24,2
H37115,38.7,1468.0,39,2
H37117,23.6,1864.0,47,1
H37121,27.5,1679.0,59,1
H37132,44.6,1427.0,87,2
H37133,33.3,1535.0,92,2
H37134,41.7,1476.0,97,2
H37143,59.2,1329.0,121,0
H37150,46.9,1354.0,138,0
H37175,30.8,1715.0,203,1
H37179,56.2,1427.0,8,2
H37181,54.6,1319.0,15,2
H37186,41.0,1464.0,29,2
H37206,40.4,1485.0,75,2
H37209,29.6,1674.0,85,1
H37231,25.4,1785.0,139,1
H37236,41.8,1413.0,153,0
H37244,35.8,1495.0,175,0
H37262,37.7,1547.0,217,0
H37282,46.7,1438.0,41,2
H37290,49.0,1335.0,62,2
H37294,47.2,1457.0,74,2
H37296,27.3,1670.0,81,1
H37297,45.4,1446.0,86,2
H37328,43.1,1490.0,159,0
H37329,35.1,1527.0,164,0
H37338,46.5,1389.0,186,0
H37370,38.0,1513.0,38,2
H37371,16.5,2140.0,43,1
H37374,42.6,1491.0,52,2
H37390,47.8,1395.0,90,2
H37401,40.3,1489.0,117,0
H37423,17.8,2129.0,173,1
H37434,27.9,1720.0,202,1
H37437,42.7,1397.0,212,0
H37455,48.5,1431.0,25,2
H37463,30.5,1604.0,45,1
H37469,41.1,1496.0,60,2
H37474,44.3,1426.0,73,2
H37486,43.2,1375.0,108,2
H37494,43.6,1432.0,127,0
H37496,46.2,1422.0,134,0
H37508,28.8,1662.0,162,1
H37521,49.0,1390.0,194,0
H37524,18.5,2141.0,204,1
H37528,13.5,2496.0,5,1
H37537,36.8,1515.0,27,2
H37544,43.1,1393.0,45,2
H37545,49.6,1364.0,50,2
H37551,32.4,1600.0,67,1
H37573,31.2,1679.0,120,1
H37575,30.2,1714.0,128,1
H37581,47.1,1353.0,143,0
H37585,34.5,1641.0,155,1
H37587,37.0,1497.0,162,0
H37624,29.4,1636.0,23,1
H37626,48.9,1329.0,30,2
H37657,54.5,1369.0,104,2
H37670,56.8,1336.0,136,0
H37674,48.0,1332.0,148,0
H37675,48.4,1434.0,153,0
H37677,30.6,1704.0,160,1
H37679,28.0,1791.0,168,1
H37683,30.4,1761.0,180,1
H37691,55.8,1294.0,202,0
H37695,38.8,1519.0,213,0
H37697,33.0,1615.0,221,0
H37706,39.9,1429.0,19,2
H37712,45.6,1435.0,37,2
H37719,44.0,1380.0,56,2
